
FireFly 2.0.3

Launching 12 thread(s) with maximum bunch size 1
Using seed 1778143757 for random numbers

Promote to new prime field: F(9223372036854775783)
Time for the first black-box probe: 0.054914 s
21218 function(s) will be interpolated
Probe: 211 | Done: 0 / 21218 | Requires new prime field: 18936 / 21218
Probe: 583 | Done: 0 / 21218 | Requires new prime field: 18946 / 21218
Probe: 583 | Done: 0 / 21218 | Requires new prime field: 18948 / 21218
Probe: 944 | Done: 0 / 21218 | Requires new prime field: 18954 / 21218
Probe: 1051 | Done: 0 / 21218 | Requires new prime field: 18961 / 21218
Probe: 1053 | Done: 0 / 21218 | Requires new prime field: 18970 / 21218
Probe: 1290 | Done: 0 / 21218 | Requires new prime field: 18971 / 21218
Probe: 1295 | Done: 0 / 21218 | Requires new prime field: 18982 / 21218
Probe: 1360 | Done: 0 / 21218 | Requires new prime field: 18984 / 21218
Probe: 1361 | Done: 0 / 21218 | Requires new prime field: 19024 / 21218
Probe: 1362 | Done: 0 / 21218 | Requires new prime field: 19060 / 21218
Probe: 1680 | Done: 0 / 21218 | Requires new prime field: 19064 / 21218
Probe: 1682 | Done: 0 / 21218 | Requires new prime field: 19097 / 21218
Probe: 1683 | Done: 0 / 21218 | Requires new prime field: 19109 / 21218
Probe: 1684 | Done: 0 / 21218 | Requires new prime field: 19120 / 21218
Probe: 1689 | Done: 0 / 21218 | Requires new prime field: 19226 / 21218
Probe: 2019 | Done: 0 / 21218 | Requires new prime field: 19227 / 21218
Probe: 2019 | Done: 0 / 21218 | Requires new prime field: 19228 / 21218
Probe: 2021 | Done: 0 / 21218 | Requires new prime field: 19240 / 21218
Probe: 2025 | Done: 0 / 21218 | Requires new prime field: 19241 / 21218
Probe: 2033 | Done: 0 / 21218 | Requires new prime field: 19326 / 21218
Probe: 2041 | Done: 0 / 21218 | Requires new prime field: 19339 / 21218
Probe: 2364 | Done: 0 / 21218 | Requires new prime field: 19341 / 21218
Probe: 2367 | Done: 0 / 21218 | Requires new prime field: 19362 / 21218
Probe: 2383 | Done: 0 / 21218 | Requires new prime field: 19432 / 21218
Probe: 2726 | Done: 0 / 21218 | Requires new prime field: 19630 / 21218
Probe: 3058 | Done: 0 / 21218 | Requires new prime field: 19712 / 21218
Probe: 3058 | Done: 0 / 21218 | Requires new prime field: 19723 / 21218
Probe: 3061 | Done: 0 / 21218 | Requires new prime field: 19726 / 21218
Probe: 3063 | Done: 0 / 21218 | Requires new prime field: 19729 / 21218
Probe: 3066 | Done: 0 / 21218 | Requires new prime field: 19732 / 21218
Probe: 3073 | Done: 0 / 21218 | Requires new prime field: 19750 / 21218
